match_id,innings,over,ball_in_over,b14_actual_runs,b14_predicted_runs
335996,1,19,1,0,2.2949632708920715
335996,1,19,2,4,2.7425325491113766
335996,1,19,3,6,3.0424811465430164
335996,1,19,4,4,3.1448436859370488
335996,1,19,5,0,3.111628197302382
335996,1,19,6,0,2.704559099997818
335996,2,15,1,0,-0.0016225146457691717
335996,2,15,2,1,0.4090551015098703
335996,2,15,3,1,0.5465661387924178
335996,2,15,4,2,0.8639749709697547
335996,2,15,5,0,0.7159985637857804
335996,2,15,6,4,1.2022242741582403
335996,2,16,1,2,1.4457052338472443
335996,2,16,2,0,1.1544076895767088
335996,2,16,3,1,1.0348979036846635
335996,2,16,4,0,0.9509768176699798
335996,2,16,5,1,0.8856295149125889
335996,2,16,6,4,1.268422206511088
335996,2,17,1,1,1.3486053815644619
335996,2,17,2,0,0.932634538106675
335996,2,17,3,1,1.0607040836219708
335996,2,17,4,1,0.9543250175455794
335996,2,17,5,1,0.9768876449666304
335996,2,17,6,2,1.0287867077674269
335996,2,18,1,1,1.2110232140515542
335996,2,18,2,1,1.2713716501032146
335996,2,18,3,4,1.3272706905065055
335996,2,18,4,0,1.2495397294423045
335996,2,18,5,1,0.8807831771610315
335996,2,18,6,1,0.6000309070347134
335996,2,19,1,1,0.6045268345225918
335996,2,19,2,1,0.6069511570694294
335996,2,19,3,0,0.8815258728389512
335996,2,19,4,0,1.023736134701257
336002,1,15,1,1,0.9023788948242248
336002,1,15,2,1,0.9080403974227
336002,1,15,3,4,2.088270541193096
336002,1,15,4,1,1.7720445878487263
336002,1,15,5,1,1.6441032820371335
336002,1,15,6,0,1.3979336866422838
336002,1,16,1,0,1.195616695369306
336002,1,16,2,1,1.226664281089852
336002,1,16,3,0,1.1526137127249205
336002,1,16,4,6,1.6685881335087278
336002,1,16,5,4,1.8744451108710782
336002,1,16,6,6,2.1793098721201387
336002,1,17,1,1,2.1864477481963553
336002,1,17,2,1,2.156934302765796
336002,1,17,3,0,2.0282417282286933
336002,1,17,4,0,1.99265005566298
336002,1,17,5,6,2.010729002314552
336002,1,17,6,1,2.0045738173374703
336002,1,18,1,1,2.3817925145669308
336002,1,18,2,4,1.9386623730472652
336002,1,18,3,0,1.763736162569567
336002,1,18,4,0,1.9153851759340639
336002,1,18,5,0,1.5303639966898943
336002,1,18,6,0,1.3541187138697501
336002,1,18,7,0,1.520292840614639
336002,1,19,1,0,1.1787289682264142
336002,1,19,2,0,1.1716989537314113
336002,1,19,3,1,1.3388737842559104
336002,1,19,4,0,1.2001277793770426
336002,1,19,5,0,1.7274398487964564
336002,1,19,6,0,1.1043099047132454
336002,2,15,1,1,0.9023788948242248
336002,2,15,2,4,2.485842962026731
336002,2,15,3,4,3.034731403705452
336002,2,15,4,4,3.7604379924359175
336002,2,15,5,0,1.8636438797127934
336002,2,15,6,4,1.377522456503496
336002,2,16,1,4,2.0069977146913818
336002,2,16,2,6,2.15990649549891
336002,2,16,3,1,1.9626783583662375
336002,2,16,4,1,1.7798111078692447
336002,2,16,5,1,2.099061756383344
336002,2,16,6,0,2.1389496786953615
336002,2,17,1,4,2.5744015981363266
336002,2,17,2,0,2.730153864484457
336002,2,17,3,1,2.2702644277251447
336002,2,17,4,4,2.772569254163421
336002,2,17,5,4,1.5681675025647845
336002,2,17,6,0,2.156698329983209
336002,2,18,1,1,2.5326269598150595
336002,2,18,2,6,3.156419537115048
336002,2,18,3,6,3.4489756805666025
336002,2,18,4,1,2.4860524832452873
336002,2,18,5,1,3.1284010528518396
336002,2,18,6,6,2.0759167021314124
336003,1,15,1,1,0.9023788948242248
336003,1,15,2,1,0.9080403974227
336003,1,15,3,4,2.088270541193096
336003,1,15,4,0,1.5288642536666437
336003,1,15,5,2,1.6441032820371335
336003,1,15,6,1,1.5457940014337308
336003,1,16,1,0,1.3920899057793246
336003,1,16,2,0,1.3892465752493044
336003,1,16,3,1,1.2863653546086058
336003,1,16,4,4,1.6061786448204436
336003,1,16,5,1,1.4824179276994356
336003,1,16,6,1,1.4201612014528018
336003,1,16,7,4,1.5983584886121267
336003,1,17,1,1,1.732774607698629
336003,1,17,2,1,1.6841660368244233
336003,1,17,3,4,2.0201134727516914
