match_id,innings,over,ball_in_over,bowler,w2_actual_future_wicket,w2_predicted_wicket_prob
598063,1,5,6,SR Watson,1,0.5979057960949266
598063,1,8,6,KK Cooper,1,0.5376968335701628
598063,1,12,6,KK Cooper,1,0.5197632584124514
598063,1,15,6,JP Faulkner,1,0.5035501056340106
598063,2,5,6,DS Kulkarni,0,0.42279794420879724
598063,2,8,6,Harbhajan Singh,1,0.5022055430860329
598067,1,5,6,UT Yadav,0,0.5943970292603815
598067,1,8,6,UT Yadav,0,0.5634475145379546
598067,1,12,6,S Nadeem,0,0.415403848225992
598067,1,15,6,M Morkel,0,0.49398571815067716
598067,2,5,6,B Kumar,0,0.4812704346470454
598067,2,8,6,AD Mathews,1,0.5770846437954595
598067,2,15,6,WD Parnell,0,0.2888736248992273
598068,1,5,6,DJ Bravo,0,0.6090905395037196
598073,1,8,6,R Ashwin,0,0.5325737612699613
598073,1,12,6,R Ashwin,0,0.38121979856915894
598073,1,15,6,DJ Bravo,1,0.6257932669452991
598073,2,8,6,Harbhajan Singh,1,0.5120390137163117
598073,2,12,6,PP Ojha,0,0.3796756009880521
598073,2,15,6,KA Pollard,1,0.5093143179805248
729283,1,5,6,MG Johnson,0,0.618425498916643
729283,1,8,6,AR Patel,1,0.3731302048967898
729283,1,15,6,MG Johnson,0,0.4192091264371195
729283,2,5,6,R Ashwin,0,0.6004598226392848
729283,2,8,6,P Negi,0,0.5250799264808435
729283,2,12,6,P Negi,0,0.3883204083709972
729285,1,5,6,JP Faulkner,0,0.5152194045014663
729285,1,8,6,PV Tambe,0,0.5126349353016497
729285,1,12,6,PV Tambe,0,0.3566275299783842
729285,2,5,6,B Kumar,0,0.407229500106768
729285,2,8,6,A Mishra,1,0.5509029251439985
729285,2,12,6,KV Sharma,0,0.5271962874233561
729285,2,15,6,A Mishra,1,0.44692176973280334
729287,1,5,6,JA Morkel,0,0.46249762980662773
729287,1,8,6,AB Dinda,1,0.5321177185507485
729287,1,12,6,Yuvraj Singh,0,0.43440089428396406
729287,2,5,6,Z Khan,0,0.37818979103689004
729287,2,8,6,PP Ojha,0,0.5327091962792598
729287,2,12,6,SL Malinga,0,0.3525528081018534
729289,1,5,6,JD Unadkat,1,0.6431880287613151
729289,1,8,6,S Nadeem,1,0.587226246535358
729289,2,5,6,Shakib Al Hasan,0,0.571773966260015
729289,2,12,6,SP Narine,1,0.483589020405876
729289,2,15,6,M Morkel,0,0.4134048808329793
729295,1,5,6,KV Sharma,0,0.6240344354938947
729295,1,8,6,A Mishra,1,0.5386600670943072
729295,1,12,6,A Mishra,1,0.35395148074804716
729295,1,15,6,B Kumar,1,0.5188643799067265
729295,2,5,6,R Dhawan,1,0.5791823324000097
729295,2,8,6,R Dhawan,1,0.4689349044722572
729295,2,12,6,AR Patel,1,0.38679104401818465
729295,2,15,6,MG Johnson,1,0.44448637894417276
729311,1,5,6,R Ashwin,0,0.6134612329880393
729311,1,8,6,RA Jadeja,0,0.529915703728175
729311,1,15,6,R Ashwin,0,0.10602965008080026
729311,2,5,6,KV Sharma,1,0.6055400324563441
729311,2,8,6,A Mishra,0,0.5433664027029962
729311,2,12,6,A Mishra,0,0.38584248814593103
729311,2,15,6,B Kumar,0,0.4964378085256827
733971,1,5,6,PP Chawla,0,0.744514792675041
733971,1,8,6,R Vinay Kumar,0,0.6058301008083838
733971,1,15,6,SP Narine,0,0.11461973687193144
733971,2,5,6,RA Jadeja,1,0.6746036675427709
733971,2,8,6,R Ashwin,0,0.6239758506452676
733973,1,5,6,SL Malinga,1,0.6197165013718525
733973,1,8,6,SL Malinga,1,0.546062772262189
733973,2,5,6,MG Johnson,0,0.5172205478690083
733973,2,8,6,AR Patel,0,0.47144788923208647
733973,2,15,6,L Balaji,0,0.4405748926726303
733977,1,5,6,HV Patel,1,0.48628245031642514
733977,1,8,6,YS Chahal,0,0.5044645114142655
733977,1,12,6,VR Aaron,1,0.3904784624988264
733977,2,5,6,B Kumar,0,0.370670071701673
733977,2,8,6,KV Sharma,1,0.4960239594117142
733977,2,12,6,DJG Sammy,0,0.4829505438423862
734017,1,5,6,KK Cooper,0,0.6090557672123427
734017,1,8,6,DS Kulkarni,0,0.39731536024737524
734017,1,12,6,R Bhatia,0,0.41435796644850925
734017,2,5,6,K Santokie,1,0.5001376175588509
734017,2,8,6,S Gopal,1,0.4517631752751486
734017,2,12,6,S Gopal,0,0.3578975136733793
734039,1,8,6,Karanveer Singh,1,0.4125504490963166
734039,1,12,6,Karanveer Singh,1,0.30233405127618906
734039,1,15,6,AR Patel,1,0.42041329141201716
734045,1,5,6,MM Sharma,1,0.6026320592561247
734045,1,8,6,R Ashwin,1,0.517640831918266
734045,1,15,6,A Nehra,1,0.37847534623596263
734045,2,5,6,JJ Bumrah,0,0.4792927012819942
734045,2,8,6,Harbhajan Singh,0,0.5579297062234289
829707,1,5,6,JA Morkel,0,0.5774801955748169
829707,1,8,6,Imran Tahir,0,0.5427244800013372
829707,2,5,6,MM Sharma,1,0.390837544412934
829707,2,8,6,IC Pandey,1,0.487793083509796
829707,2,12,6,DJ Bravo,1,0.39647725552665913
829715,1,5,6,DJ Hooda,0,0.5530587820504665
829715,1,8,6,JP Faulkner,0,0.518360105726766
829715,1,12,6,JP Faulkner,0,0.5031523284315705
829715,1,15,6,JP Faulkner,0,0.42205154145099383
829715,2,5,6,NM Coulter-Nile,0,0.38687981706832575
829715,2,8,6,Imran Tahir,1,0.5094122898184757
829715,2,12,6,AD Mathews,0,0.38043135205173534
