match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
336003,1,16,2,50,40.126125
336003,1,16,3,49,37.156834
336003,1,16,4,48,33.476776
336003,1,16,5,44,29.463451
336003,1,16,6,43,27.686604
336003,1,16,7,42,33.36976
336003,1,17,1,38,29.715872
336003,1,17,2,37,29.795305
336003,1,17,3,35,28.632729
336003,1,17,4,31,27.051899
336003,1,17,5,30,25.043983
336003,1,17,6,30,22.60568
336003,1,17,7,29,22.66369
336003,1,18,1,28,21.226748
336003,1,18,2,27,18.520899
336003,1,18,3,23,16.789145
336003,1,18,4,23,15.432616
336003,1,18,5,22,14.271385
336003,1,18,6,21,12.8429365
336003,1,19,1,21,10.33208
336003,1,19,2,20,8.617814
336003,1,19,3,16,6.7760158
336003,1,19,4,12,5.436206
336003,1,19,5,10,5.0549917
336003,1,19,6,6,4.471779
336003,2,15,1,68,54.809685
336003,2,15,2,68,50.224716
336003,2,15,3,68,47.9272
336003,2,15,4,66,40.071545
336003,2,15,5,60,39.6788
336003,2,15,6,58,40.043198
336003,2,16,1,56,34.97947
336003,2,16,2,52,35.820343
336003,2,16,3,51,34.432747
336003,2,16,4,50,33.265743
336003,2,16,5,48,32.866543
336003,2,16,6,46,31.309294
336003,2,17,1,45,30.114315
336003,2,17,2,43,28.584517
336003,2,17,3,42,28.962315
336003,2,17,4,36,27.790943
336003,2,17,5,35,26.395906
336003,2,17,6,29,25.649311
336003,2,18,1,27,20.851278
336003,2,18,2,25,21.80858
336003,2,18,3,19,17.919289
336003,2,18,4,17,17.760286
336003,2,18,5,15,14.43317
336003,2,18,6,15,14.201362
336003,2,19,1,9,11.097844
336003,2,19,2,8,9.663796
336003,2,19,3,6,7.6265817
336003,2,19,4,5,5.5610185
336003,2,19,5,4,3.854969
336003,2,19,6,4,2.5010898
336016,1,15,1,41,39.13827
336016,1,15,2,40,40.811535
336016,1,15,3,39,40.74649
336016,1,15,4,39,42.12933
336016,1,15,5,33,42.6895
336016,1,15,6,29,30.061333
336016,1,16,1,25,35.495525
336016,1,16,2,25,33.40856
336016,1,16,3,24,36.79219
336016,1,16,4,24,36.879227
336016,1,16,5,23,32.01724
336016,1,16,6,21,30.286781
336016,1,17,1,20,28.858603
336016,1,17,2,20,24.843164
336016,1,17,3,20,24.324228
336016,1,17,4,19,21.281559
336016,1,17,5,18,19.01658
336016,1,17,6,17,19.36165
336016,1,17,7,16,19.544514
336016,1,18,1,15,17.183125
336016,1,18,2,14,13.772071
336016,1,18,3,14,12.888207
336016,1,18,4,14,11.729503
336016,1,18,5,13,10.050066
336016,1,18,6,12,9.4977045
336016,1,19,1,12,7.487896
336016,1,19,2,11,5.7424617
336016,1,19,3,10,5.1553564
336016,1,19,4,9,3.0037878
336016,1,19,5,9,2.9879112
