match_id,innings,over,b6_actual_score,b6_predicted_score
335983,1,10,32,26.322868329092227
335983,1,10,32,26.322868329092227
335983,1,10,32,33.91671289850373
335983,1,10,32,36.831395607171594
335983,1,11,33,36.57224128518149
335983,1,11,33,41.494363589357164
335983,1,11,33,42.95072665570566
335983,1,11,32,42.95072665570566
335983,1,11,32,43.462449145560996
335983,1,11,33,45.51214296647397
335983,1,12,32,43.47883957448708
335983,1,12,32,43.47883957448708
335983,1,12,24,12.47344588492778
335983,1,12,13,11.742899412260819
335983,1,12,13,11.742899412260819
335983,1,12,13,12.47344588492778
335983,1,12,24,13.084415898476573
335983,1,12,13,13.084415898476573
335983,1,13,13,13.956720779844687
335983,1,13,24,12.927275095772643
335983,1,13,24,13.956720779844687
335983,1,13,13,14.245029210720814
335983,1,13,24,18.773869106304062
335983,1,13,24,18.773869106304062
335983,1,14,24,24.216536743529137
335983,1,14,24,25.571741302404103
335983,1,14,13,16.1313715619961
335983,1,14,13,17.15628279768348
335983,1,14,24,29.173010113418325
335983,1,14,24,33.43892736505504
335983,1,15,13,21.96283680135014
335983,1,15,13,21.96283680135014
335983,1,15,13,21.96283680135014
335983,1,15,31,7.860969035707944
335983,1,15,31,9.910276687631992
335983,1,15,42,9.910276687631992
335983,1,16,42,9.145595276302403
335983,1,16,31,9.145595276302403
335983,1,16,42,15.176425313699326
335983,1,16,42,19.511300824333187
335983,1,16,42,21.02356422232361
335983,1,16,31,10.559256138568877
335983,1,17,31,8.44582262001748
335983,1,17,31,12.976818528526335
335983,1,17,31,15.281976314220383
335983,1,17,42,21.207269260955815
335983,1,17,42,26.598876619212433
335983,1,17,42,31.351881648893777
335983,1,18,31,17.57364637627586
335983,1,18,31,18.740626961798924
335983,1,18,42,30.91633660605353
335983,1,18,31,18.521180242047507
335983,1,18,42,38.776965485115824
335983,1,18,42,39.35696333923027
335983,1,19,31,22.931448629820053
335983,1,19,31,28.735947138339572
335983,1,19,31,32.66054270124594
335983,1,19,31,32.820810159401056
335983,1,19,42,43.649180383660045
335983,1,19,42,44.88003662137948
335983,2,0,24,20.177350707640898
335983,2,0,24,20.177350707640898
335983,2,0,24,20.177350707640898
335983,2,0,24,21.1224098821109
335983,2,0,31,15.291252546080198
335983,2,0,31,20.177350707640898
335983,2,1,24,20.72683504900182
335983,2,1,31,19.449875348917207
335983,2,1,31,20.941420959704264
335983,2,1,24,20.72683504900182
335983,2,1,24,26.327708290974595
335983,2,1,24,27.846729944194685
335983,2,2,24,29.92943600413656
335983,2,2,31,23.3565901537406
335983,2,2,31,23.3565901537406
335983,2,2,31,28.663770465067543
335983,2,2,31,30.089508284135608
335983,2,2,24,28.663770465067543
335983,2,3,24,26.797408289103444
335983,2,3,24,26.797408289103444
335983,2,3,24,29.58529166032539
335983,2,3,31,30.182921209822187
335983,2,3,24,31.441903193964595
335983,2,3,24,39.194250657872146
335983,2,4,31,28.850619811512175
335983,2,4,31,28.850619811512175
335983,2,4,31,31.212885813608494
335983,2,4,24,37.19094668525322
335983,2,4,31,34.84511909342148
335983,2,4,31,37.7941480860132
335983,2,5,24,37.74889704615173
335983,2,5,31,45.1145423074778
335983,2,5,31,45.30277643162254
335983,2,5,24,37.74889704615173
335983,2,5,24,37.74889704615173
335983,2,5,24,37.74889704615173
335983,2,5,40,14.833183479573306
335983,2,5,40,21.12126604948309
335983,2,6,12,14.557056275743088
335983,2,6,40,19.625876885958313
335983,2,6,12,16.145159233733118
335983,2,6,40,21.744081006072125
335983,2,6,12,16.145159233733118
335983,2,6,40,23.166220782021835
335983,2,7,40,26.139044210362115
335983,2,7,40,30.598624961981333
335983,2,7,40,31.515685160473755
335983,2,7,12,17.49716107661129
335983,2,7,40,34.736601743880584
335983,2,7,40,36.23798867132905
335983,2,8,40,38.33407715805457
335983,2,8,40,45.19424568171456
335983,2,8,40,46.126386860949964
335983,2,8,12,16.70524463163098
335983,2,8,40,45.642062833161226
335983,2,8,12,16.70524463163098
335983,2,8,12,17.8100232497834
335983,2,9,12,18.72341830808628
335983,2,9,40,49.8928521920659
335983,2,9,40,49.8928521920659
335983,2,9,40,54.69476017580291
335983,2,9,12,22.482754275003046
335983,2,9,12,23.603979219900367
335983,2,10,12,23.65721657201124
335983,2,10,40,53.13277026333569
335983,2,10,15,13.180318049544363
335983,2,10,23,13.180318049544363
335983,2,10,15,14.95058744783857
335983,2,10,23,14.95058744783857
335983,2,11,23,14.644635666218504
335983,2,11,15,20.279623932484128
335983,2,11,15,23.447659021060584
335983,2,11,15,23.447659021060584
335983,2,11,15,23.447659021060584
335983,2,11,15,25.446688858221506
335983,2,12,15,23.754552374123257
335983,2,12,23,20.113323424910377
335983,2,12,23,21.962682404082912
335983,2,12,15,23.754552374123257
335983,2,12,23,26.448335755682457
335983,2,12,23,26.54538371079773
335983,2,13,23,26.613766862789966
335983,2,13,15,25.099260624896672
335983,2,13,23,27.615302245995316
335983,2,13,15,25.099260624896672
335983,2,13,23,32.95098632579764
335983,2,13,23,32.95098632579764
335983,2,13,23,32.95098632579764
335983,2,14,15,25.18895496652038
335983,2,14,23,33.42139183494475
335983,2,14,27,13.836192032175232
335983,2,14,27,14.884659473179678
335983,2,14,8,10.008498169994892
335983,2,14,27,20.797019189177625
335983,2,15,8,11.543703355993813
335983,2,15,8,11.543703355993813
335983,2,15,27,23.889844670528845
335983,2,15,27,24.385812107124632
335983,2,15,8,12.879159558824194
335983,2,15,27,28.122496170209228
335983,2,16,8,12.545718107833483
335983,2,16,27,27.52757035823463
335983,2,16,8,13.619965513874874
335983,2,16,27,31.684004708803247
335983,2,16,27,32.346837577925776
335983,2,16,8,15.382666689068396
335983,2,17,27,31.351881648893777
335983,2,17,8,15.281976314220383
335983,2,17,27,35.96608389471149
335983,2,17,27,35.96608389471149
335983,2,17,13,4.7559313490613295
335983,2,17,3,4.7559313490613295
335983,2,18,13,4.905412611376321
335983,2,18,3,4.905412611376321
335983,2,18,13,6.019919328296965
335983,2,18,3,6.019919328296965
335983,2,18,13,8.708968856058426
335983,2,18,13,10.17469608140288
335983,2,19,13,8.732395614023636
335983,2,19,3,4.672543812953318
335983,2,19,13,8.732395614023636
335983,2,19,13,14.566443633735219
335983,2,19,13,15.434257301986936
335983,2,19,3,4.672543812953318
335990,1,0,13,15.291252546080198
335990,1,0,13,20.177350707640898
335990,1,0,13,20.177350707640898
335990,1,0,13,20.177350707640898
335990,1,0,13,24.876449892866514
335990,1,0,13,25.120853763264932
335990,1,1,9,16.361990098200103
335990,1,1,13,30.05565877881205
335990,1,1,9,20.941420959704264
335990,1,1,9,20.941420959704264
335990,1,1,9,20.941420959704264
335990,1,1,9,25.943853229019737
335990,1,2,13,28.663770465067543
335990,1,2,13,28.663770465067543
335990,1,2,10,14.304697737925137
335990,1,2,10,18.89390231046257
335990,1,2,10,25.422342363377453
335990,1,2,10,25.422342363377453
335990,1,3,35,15.880736833772735
335990,1,3,7,13.892702533915353
335990,1,3,7,13.892702533915353
335990,1,3,7,13.892702533915353
335990,1,3,7,13.892702533915353
335990,1,3,7,13.892702533915353
335990,1,4,35,15.655681712974271
335990,1,4,35,20.7418635123777
335990,1,4,35,23.954802505302023
335990,1,4,35,23.954802505302023
335990,1,4,35,25.292751120951237
335990,1,4,7,19.59553999244745
335990,1,5,35,26.731369849678952
335990,1,5,35,30.293456798761113
335990,1,5,35,30.293456798761113
335990,1,5,35,30.293456798761113
335990,1,5,35,30.293456798761113
335990,1,5,35,34.067111095917824
335990,1,5,35,35.69148881683845
335990,1,6,35,34.86913557953087
335990,1,6,35,35.280902261141726
335990,1,6,7,18.60873825667577
335990,1,6,7,18.754784175312523
335990,1,6,35,35.280902261141726
335990,1,6,35,37.182557964679134
335990,1,7,35,43.25869603690901
335990,1,7,35,44.189873953695546
335990,1,7,7,20.16395908097928
335990,1,7,35,44.67492524943878
335990,1,7,7,20.686589789733556
335990,1,7,35,46.54105193858852
335990,1,8,35,46.67062851838667
335990,1,8,35,46.850772322570684
335990,1,8,7,20.06263371177238
335990,1,8,36,13.168034990390714
335990,1,8,73,13.168034990390714
335990,1,8,36,14.489132453901071
335990,1,9,36,15.759849392283389
335990,1,9,73,17.861327027264224
335990,1,9,73,17.861327027264224
335990,1,9,73,18.72341830808628
335990,1,9,36,15.759849392283389
335990,1,9,36,15.213956340491485
335990,1,10,36,15.657288758863075
335990,1,10,73,19.88943576252505
335990,1,10,36,15.657288758863075
335990,1,10,36,16.814151410002925
335990,1,10,73,19.88943576252505
335990,1,10,73,24.995968154394397
335990,1,10,73,29.607798028765885
335990,1,11,36,16.34043291720076
335990,1,11,36,17.72405208897394
335990,1,11,73,29.429586692370414
335990,1,11,36,17.72405208897394
335990,1,11,36,20.279623932484128
335990,1,11,73,34.2869521586997
335990,1,12,36,20.113323424910377
335990,1,12,73,37.05225456835717
335990,1,12,73,43.47883957448708
335990,1,12,73,46.58272134858921
335990,1,12,36,20.113323424910377
335990,1,12,36,20.113323424910377
335990,1,13,73,45.312565514221184
335990,1,13,36,22.918666828180058
335990,1,13,36,27.615302245995316
335990,1,13,36,28.42291306944747
335990,1,13,73,46.85012279831321
335990,1,13,36,28.42291306944747
335990,1,14,73,49.87317494251412
335990,1,14,73,49.87317494251412
335990,1,14,73,50.602993184682376
335990,1,14,36,29.792102771385906
335990,1,14,73,51.6245493377202
335990,1,14,73,53.481607171719645
335990,1,14,73,59.485203693784776
335990,1,15,36,30.386520920956578
335990,1,15,73,63.56257195907651
335990,1,15,73,64.66233109625713
335990,1,15,36,32.04144237414605
335990,1,15,36,32.32519427757519
335990,1,15,73,63.9845800555336
335990,1,16,73,64.90504775313235
335990,1,16,36,38.04663102022377
335990,1,16,36,41.48106152924083
335990,1,16,36,43.92611579731302
335990,1,16,36,43.92611579731302
335990,1,16,36,43.92611579731302
335990,1,17,73,72.50947344549826
335990,1,17,73,71.62162764233884
335990,1,17,36,43.89371269847584
335990,1,17,73,75.96474358489937
335990,1,17,73,75.48405183290575
335990,1,17,36,43.89371269847584
335990,1,18,16,8.708968856058426
335990,1,18,16,10.17469608140288
335990,1,18,9,8.708968856058426
335990,1,18,9,8.708968856058426
335990,1,18,9,8.708968856058426
335990,1,18,9,10.17469608140288
335990,1,18,16,10.760233305811497
335990,1,18,9,14.198260685930263
335990,1,19,16,8.732395614023636
335990,1,19,16,8.732395614023636
335990,1,19,16,12.227721396286672
335990,1,19,16,16.17253393973722
335990,1,19,16,16.17253393973722
335990,1,19,16,18.34602151541955
335990,1,19,16,18.34602151541955
335990,2,0,12,15.291252546080198
335990,2,0,12,15.291252546080198
335990,2,0,12,20.177350707640898
335990,2,0,12,21.1224098821109
335990,2,0,0,15.291252546080198
335990,2,0,0,15.291252546080198
335990,2,1,12,27.846729944194685
335990,2,1,12,27.846729944194685
335990,2,1,12,27.846729944194685
335990,2,1,12,31.533116631076084
335990,2,1,0,13.933952437068069
