match_id,innings,over,ball_in_over,b13_actual,b13_predicted_prob
335983,2,18,4,0,0.5970461972672407
335983,2,18,5,0,0.5943867857693999
335983,2,18,6,0,0.5874799070699412
335983,2,19,1,0,0.5941208793615346
335983,2,19,2,0,0.5871949582729521
335983,2,19,3,0,0.5759263370413705
335983,2,19,4,0,0.590395167430449
335983,2,19,5,0,0.6019087454584151
335983,2,19,6,0,0.5721347279781204
335990,1,0,1,0,0.4511755557045945
335990,1,0,2,0,0.2845618101657031
335990,1,0,3,0,0.3442327263297921
335990,1,0,4,0,0.3438391085088761
335990,1,0,5,0,0.3011170090305913
335990,1,0,6,0,0.2920371281868579
335990,1,1,1,0,0.30872451231296866
335990,1,1,2,0,0.29468280649708667
335990,1,1,3,0,0.2817226485331487
335990,1,1,4,0,0.30253976294472557
335990,1,1,5,0,0.2887932449356463
335990,1,1,6,0,0.2800223402724805
335990,1,2,1,0,0.307910100479702
335990,1,2,2,1,0.4278878075032823
335990,1,2,3,0,0.42499043794305064
335990,1,2,4,0,0.41804974326375544
335990,1,2,5,0,0.4307565964555016
335990,1,2,6,1,0.5771211914316773
335990,1,3,1,0,0.5683962806322267
335990,1,3,2,0,0.5638194221090521
335990,1,3,3,0,0.5584593536755112
335990,1,3,4,0,0.5524167911215607
335990,1,3,5,0,0.5457755566125733
335990,1,3,6,0,0.5386064768986711
335990,1,4,1,0,0.5449087022420597
335990,1,4,2,0,0.5430394320195443
335990,1,4,3,0,0.5608012375186733
335990,1,4,4,0,0.5531558519513945
335990,1,4,5,0,0.5318686272706927
335990,1,4,6,0,0.5319085835596221
335990,1,5,1,0,0.5568492241896774
335990,1,5,2,0,0.5385234207381092
335990,1,5,3,0,0.5493384138392596
335990,1,5,4,0,0.5218743016477441
335990,1,5,5,0,0.515623517473771
335990,1,5,6,0,0.516960525514716
335990,1,5,7,0,0.5298506566554096
335990,1,6,1,0,0.4635000834810192
335990,1,6,2,0,0.4571264945629112
335990,1,6,3,0,0.44791040082461714
335990,1,6,4,0,0.4413963672104887
335990,1,6,5,0,0.4319681736396244
335990,1,6,6,0,0.4253574411990624
335990,1,7,1,0,0.44740694598618697
335990,1,7,2,0,0.45982471125275076
335990,1,7,3,0,0.43436083556279087
335990,1,7,4,0,0.4278033197837487
335990,1,7,5,0,0.42123013951279986
335990,1,7,6,0,0.41464650566053357
335990,1,8,1,0,0.42488815027325094
335990,1,8,2,0,0.4182548268058929
335990,1,8,3,1,0.5574679821806718
335990,1,8,4,0,0.5506470349866978
335990,1,8,5,0,0.5437779445187306
335990,1,8,6,0,0.5368646397286725
335990,1,9,1,0,0.5438538913744351
335990,1,9,2,0,0.5473992866353726
335990,1,9,3,0,0.5559211677538273
335990,1,9,4,0,0.5300015734358066
335990,1,9,5,0,0.5193933279735969
335990,1,9,6,0,0.5123295166644529
335990,1,10,1,0,0.5192514883125245
335990,1,10,2,0,0.5121484674973154
335990,1,10,3,0,0.5013125391164296
335990,1,10,4,0,0.4941443718336898
335990,1,10,5,0,0.48696275723709337
335990,1,10,6,0,0.49864150899953474
335990,1,10,7,0,0.5220265200150365
335990,1,11,1,0,0.5235107453153812
335990,1,11,2,0,0.49730603994741424
335990,1,11,3,0,0.490186879666909
335990,1,11,4,0,0.4791870032775611
335990,1,11,5,0,0.47203467325148046
335990,1,11,6,0,0.4843765269973355
335990,1,12,1,0,0.5103963832675753
335990,1,12,2,0,0.48809832585330615
335990,1,12,3,0,0.5007693292678352
335990,1,12,4,0,0.512823445019886
335990,1,12,5,0,0.4826467716991828
335990,1,12,6,0,0.47155700337987544
335990,1,13,1,0,0.47842305728633977
335990,1,13,2,0,0.47531427124219156
335990,1,13,3,0,0.4883902820770367
335990,1,13,4,0,0.50041207092472
335990,1,13,5,0,0.47420828863066783
335990,1,13,6,0,0.46304241940892654
335990,1,14,1,0,0.48215815774003484
335990,1,14,2,0,0.4941460692547821
335990,1,14,3,0,0.4679357922296768
335990,1,14,4,0,0.4608240169167966
335990,1,14,5,0,0.4578327929752057
335990,1,14,6,0,0.4631199620091079
335990,1,14,7,0,0.4958893408138275
335990,1,15,1,0,0.48035657495006284
335990,1,15,2,0,0.46674694693184665
335990,1,15,3,0,0.4787391041702825
335990,1,15,4,0,0.46520218843713157
335990,1,15,5,0,0.4771955922638611
335990,1,15,6,0,0.4511214923609825
335990,1,16,1,0,0.45797581658273384
335990,1,16,2,0,0.4635769895624082
335990,1,16,3,0,0.48831259329865156
335990,1,16,4,0,0.48549663891230616
335990,1,16,5,0,0.4551254758148499
335990,1,16,6,0,0.4438436259287688
335990,1,17,1,0,0.47200571699770894
335990,1,17,2,0,0.4840009172823489
335990,1,17,3,0,0.4578671609182992
335990,1,17,4,0,0.47227863637690015
335990,1,17,5,0,0.4842818554745535
335990,1,17,6,1,0.6026515979718235
335990,1,18,1,0,0.6215781549486529
335990,1,18,2,0,0.6328101837363429
335990,1,18,3,0,0.6204952865633219
335990,1,18,4,0,0.6317417715229633
335990,1,18,5,0,0.6070086078178751
335990,1,18,6,0,0.600187858027801
335990,1,18,7,0,0.5933187931027811
335990,1,18,8,0,0.5991308456467671
335990,1,19,1,0,0.6165813772531679
335990,1,19,2,0,0.5914558665937126
335990,1,19,3,0,0.5973196606912853
