match_id,innings,over,ball_in_over,bowler,w11_actual_future_runs,w11_predicted_future_runs
419142,1,15,6,KA Pollard,6,8.310814789739183
419142,2,5,6,R Ashwin,6,14.737313418489052
419142,2,8,6,T Thushara,7,14.688367688765533
419142,2,12,6,R Ashwin,2,8.540749035206009
419143,1,5,6,YK Pathan,12,13.068515169829933
419143,1,8,6,SK Warne,27,13.111535906733478
419143,1,12,6,SK Trivedi,14,11.768518311897147
419143,2,5,6,PP Chawla,22,19.427039764282938
419150,1,8,6,SK Trivedi,30,22.862206786158637
419150,1,12,6,SK Trivedi,26,16.023028805072567
419150,1,15,6,AP Dole,13,14.47302365450458
419150,2,5,6,DS Kulkarni,13,9.242610452526286
419150,2,8,6,Harbhajan Singh,11,16.562727693572324
419150,2,12,6,SL Malinga,15,15.79735064616488
419150,2,15,6,SL Malinga,13,8.527606459166005
419152,1,5,6,AB McDonald,38,24.437931108813842
419152,1,8,6,PD Collingwood,20,20.84447414839782
419152,1,12,6,PD Collingwood,4,8.649594947912068
419152,2,5,6,DJ Bravo,13,14.739595961556331
419152,2,8,6,KA Pollard,11,17.926140350390664
419152,2,12,6,KA Pollard,5,6.026617981499909
419152,2,15,6,Harbhajan Singh,5,8.261218425233224
419157,1,5,6,JH Kallis,36,23.685864334451598
419157,1,8,6,Pankaj Singh,23,9.508276959951266
419157,1,12,6,JH Kallis,19,11.4066894584441
419157,2,5,6,R McLaren,10,13.611601121766286
419157,2,8,6,Harbhajan Singh,15,13.155954542778847
501209,1,5,6,B Lee,22,16.011915214154932
501209,1,15,6,L Balaji,8,9.81642157795737
501209,2,5,6,A Singh,3,13.657218200456315
501209,2,12,6,SK Trivedi,22,16.140549134176798
501210,1,5,6,NLTC Perera,30,20.26240742888095
501210,1,8,6,RV Gomez,18,15.346412548398972
501210,1,12,6,NLTC Perera,14,9.46819495837163
501210,1,15,6,R Vinay Kumar,21,10.752016982773268
501210,2,5,6,KA Pollard,30,23.176958901016498
501210,2,8,6,KA Pollard,13,9.805148800662426
501210,2,12,6,AG Murtaza,21,6.821793230346605
501212,1,5,6,R McLaren,24,25.2088793739853
501212,1,15,6,RJ Harris,9,10.896575671723095
501212,2,5,6,I Sharma,5,7.26012199448176
501212,2,8,6,DT Christian,12,18.308060572646227
501221,1,5,6,Joginder Sharma,31,27.127620714365275
501221,1,8,6,R Ashwin,23,25.85009594630244
501221,1,12,6,R Ashwin,12,10.967171229084808
501221,2,5,6,MM Patel,16,9.153959238931984
501221,2,12,6,KA Pollard,21,12.026262531098938
501221,2,15,6,Harbhajan Singh,2,7.546823270031631
501224,1,5,6,I Sharma,19,16.71604965199746
501224,1,8,6,A Mishra,7,15.726581976249689
501224,1,15,6,I Sharma,8,11.23470483696079
501224,2,5,6,SL Malinga,7,19.85695276450634
501224,2,8,6,R Sathish,4,16.50379435930828
501224,2,12,6,AN Ahmed,6,7.058300951136667
501224,2,15,6,SL Malinga,2,6.143128277964061
501225,1,5,6,A Singh,7,8.405711164509249
501225,1,8,6,J Botha,5,9.373339107806865
501225,1,12,6,SK Trivedi,4,14.715521347714633
501225,2,5,6,M Muralitharan,20,13.679710256818922
501225,2,12,6,M Muralitharan,4,8.417438010755843
501226,1,5,6,M Kartik,19,22.464327940724903
501226,1,8,6,R Sharma,19,15.875150993247349
501226,1,15,6,AC Thomas,8,12.055660222819405
501226,2,5,6,R Ashwin,11,13.13584854372137
501226,2,8,6,S Randiv,16,12.17809565402883
501226,2,12,6,DE Bollinger,7,8.938582634820067
501229,1,5,6,R Vinay Kumar,24,18.826237171801957
501229,1,8,6,NLTC Perera,26,18.196915188562194
501229,1,12,6,RA Jadeja,12,12.03260249960639
501229,2,8,6,DT Christian,7,12.51302878891273
501230,1,5,6,UT Yadav,21,20.725734427286554
501230,1,8,6,AB Agarkar,23,14.378895607467301
501230,1,12,6,M Morkel,12,11.728532265630877
501230,2,5,6,Iqbal Abdulla,19,16.987053783733852
501230,2,8,6,JD Unadkat,10,8.597827514508388
501230,2,12,6,Iqbal Abdulla,9,8.57614572017255
501230,2,15,6,B Lee,5,8.83886556163079
501231,1,5,6,A Singh,2,8.666834659697859
501231,1,12,6,SR Watson,10,11.253760462397324
501231,1,15,6,J Botha,2,17.193952328651307
501231,2,5,6,AG Murtaza,9,17.125230532245812
501231,2,8,6,Harbhajan Singh,5,14.97083374017745
501231,2,15,6,KA Pollard,1,12.78922917221688
501240,1,5,6,R Ashwin,25,22.320195826950474
501240,1,8,6,SB Jakati,9,12.961193543903365
501240,1,12,6,R Ashwin,8,10.381475945712921
501240,2,5,6,J Botha,5,8.410409908100434
501240,2,8,6,SR Watson,9,13.303399459326496
501240,2,15,6,SK Trivedi,7,9.953770791293163
501243,1,5,6,M Morkel,16,19.182277118374337
501243,1,8,6,AB Agarkar,20,16.49831325481645
501243,1,12,6,AM Salvi,10,10.348610956532129
501243,2,5,6,I Sharma,7,7.084674263895431
501243,2,8,6,DT Christian,7,6.505592881847281
501243,2,12,6,DW Steyn,5,7.502007710478837
501250,1,5,6,WD Parnell,18,16.834833170407506
501250,1,8,6,Yuvraj Singh,7,16.110232068703183
501250,1,12,6,R Sharma,5,9.0284942011679
501250,1,15,6,MR Marsh,6,10.420551449355711
501250,2,5,6,A Mishra,17,18.833518739255634
501250,2,12,6,DT Christian,13,12.729153296155665
501254,1,5,6,SJ Srivastava,14,12.654991834802036
501254,1,8,6,Bipul Sharma,15,15.787898814177561
501254,1,12,6,BA Bhatt,15,9.973288508413876
501254,1,15,6,RJ Harris,7,9.960574302364407
501254,2,5,6,S Sreesanth,12,7.671145914046435
501254,2,8,6,R Vinay Kumar,12,12.345453988600806
501254,2,12,6,RA Jadeja,11,12.726954442227878
501254,2,15,6,RA Jadeja,7,14.261989067290303
501256,1,5,6,DS Kulkarni,17,24.07748152545727
501256,1,12,6,SL Malinga,13,12.902800105016832
501256,1,15,6,SL Malinga,7,5.349055383528193
501256,2,5,6,I Sharma,16,9.698417273105884
501256,2,8,6,DT Christian,14,20.414096437558225
501256,2,12,6,DT Christian,1,10.428961643066183
501256,2,15,6,Anand Rajan,15,17.03163373361384
501265,1,5,6,SS Mundhe,1,16.9545891654218
501265,1,8,6,MR Marsh,1,14.36475670905757
501270,1,5,6,SL Malinga,13,16.476379366428514
501270,1,8,6,KA Pollard,15,11.844370896564142
501270,1,12,6,KA Pollard,6,7.702073614921558
501270,1,15,6,AN Ahmed,14,6.125052982346279
501270,2,5,6,S Aravind,4,9.711170346925861
501270,2,8,6,DL Vettori,7,13.597575556585019
501270,2,15,6,J Syed Mohammad,6,8.918637647770826
548310,1,5,6,M Morkel,18,19.14564748852287
548310,1,8,6,GJ Maxwell,6,28.050133539206357
548310,1,12,6,S Nadeem,5,9.74666710843473
548310,2,5,6,AB McDonald,5,19.917785190212882
548310,2,8,6,DL Vettori,14,12.028753124190263
548310,2,12,6,HV Patel,6,16.435451266414617
548311,1,5,6,DT Christian,20,21.945569311691244
548311,1,8,6,TP Sudhindra,42,19.659242564457166
548311,1,12,6,DT Christian,12,10.924334015272096
548311,2,5,6,DE Bollinger,0,13.63359880627655
548311,2,12,6,RA Jadeja,4,16.397042187673637
548320,1,8,6,Shakib Al Hasan,12,12.46517617296514
548320,1,12,6,SP Narine,8,12.189301139635575
548320,1,15,6,R Bhatia,1,10.91734224284012
548320,2,5,6,A Singh,12,7.7586265175889855
548320,2,8,6,SK Trivedi,16,16.381300920874228
548320,2,15,6,SK Trivedi,9,14.019156679910393
548327,1,5,6,DL Vettori,24,24.10898505287831
548327,1,8,6,HV Patel,4,9.316795396005224
548327,1,12,6,DL Vettori,14,8.829175025462822
548327,1,15,6,Z Khan,10,9.373343601408997
548327,2,5,6,MN Samuels,3,22.949645352866032
548327,2,8,6,B Kumar,11,7.9613886871336925
548327,2,15,6,A Nehra,25,10.983080911901759
548334,1,5,6,Azhar Mahmood,28,32.34250619603379
548334,1,8,6,PP Chawla,10,19.66767753029482
548334,2,5,6,KA Pollard,8,18.29440260132602
548334,2,8,6,KA Pollard,6,12.301716423712909
548334,2,12,6,NLTC Perera,9,15.121337686890481
548337,1,5,6,M Morkel,23,13.481586614361543
548337,1,8,6,P Negi,7,9.98189300623244
548337,1,12,6,UT Yadav,20,11.455509733725197
548337,2,8,6,R Sharma,24,15.42219899204014
548337,2,12,6,M Kartik,5,8.83396330957129
548348,1,5,6,WD Parnell,18,20.733245644069516
548348,1,8,6,A Nehra,31,16.19206149070861
548348,1,12,6,SC Ganguly,24,17.801017379636352
548348,1,15,6,WD Parnell,6,12.10980577485936
548348,2,5,6,DW Steyn,21,11.284394575783017
548348,2,8,6,JP Duminy,6,9.358368339059474
548348,2,15,6,DW Steyn,12,7.955178205886177
548353,1,5,6,AB Dinda,4,14.975255292015538
548353,1,12,6,M Kartik,6,9.226352705950088
548353,2,5,6,M de Lange,11,7.144475743963546
548353,2,8,6,SP Narine,13,17.270519647332613
548353,2,12,6,YK Pathan,19,9.071590173154977
548353,2,15,6,R Bhatia,9,6.882447100938786
548355,1,5,6,SL Malinga,15,16.959795812345
548355,1,8,6,RP Singh,8,6.112664420704042
548355,2,5,6,R Ashwin,20,21.78967558470799
548355,2,8,6,DJ Bravo,20,14.612904159803298
548355,2,12,6,SB Jakati,15,17.66910413210063
548357,1,5,6,JH Kallis,6,15.7582162374209
548357,1,8,6,R Bhatia,15,16.08025550659977
548357,1,12,6,SP Narine,15,12.258978039204768
548357,2,5,6,UT Yadav,20,18.968255267281823
548357,2,8,6,VR Aaron,8,13.908497339365326
548357,2,12,6,IK Pathan,4,8.572564394215181
548357,2,15,6,UT Yadav,2,0.8542906917341625
548363,1,5,6,SP Narine,22,20.494622906339757
548363,1,8,6,JH Kallis,26,15.449757789892383
548363,1,15,6,SP Narine,13,9.181767933105457
548363,2,5,6,PP Ojha,15,16.03849744818313
548363,2,8,6,DR Smith,29,19.82349684127506
548363,2,12,6,DR Smith,11,8.610781926752189
548363,2,15,6,SL Malinga,6,9.46927837198698
548375,1,5,6,B Kumar,18,23.894289720855912
548375,1,8,6,MJ Clarke,20,16.25021698594849
548375,1,15,6,A Nehra,10,11.022264349472048
548375,2,5,6,SP Narine,10,16.617292876448886
548375,2,8,6,L Balaji,4,4.3541096809556175
548375,2,12,6,R Bhatia,11,14.46389040088011
548377,1,5,6,DS Kulkarni,8,6.784894248288559
548377,1,8,6,DR Smith,9,21.415217684309138
548377,1,15,6,KA Pollard,6,10.18947079274966
548377,2,5,6,GB Hogg,25,18.184715546677456
548377,2,8,6,SK Trivedi,18,14.689973264464344
598006,1,5,6,A Nehra,27,18.70886002499939
598006,1,8,6,UT Yadav,10,13.984925355154232
598006,1,15,6,UT Yadav,1,9.950456143525642
598006,2,5,6,SL Malinga,9,14.73338270459303
598006,2,8,6,Harbhajan Singh,5,7.3503636369342145
