match_id,innings,over,ball_in_over,b1_actual_score,b1_predicted_score
335983,2,14,6,207,195.37601798583742
335983,2,15,1,207,195.93884224835372
335983,2,15,2,207,196.9667728626339
335983,2,15,3,207,196.80227387629697
335983,2,15,4,207,197.1877806797602
335983,2,15,5,207,198.06526082830106
335983,2,15,6,207,197.60432507748263
335983,2,16,1,207,197.37295802706714
335983,2,16,2,207,196.94367825506805
335983,2,16,3,207,197.23901952247482
335983,2,16,4,207,198.01124228117075
335983,2,16,5,207,197.77180191045778
335983,2,16,6,207,197.77180191045778
335983,2,17,1,207,197.759124780317
335983,2,17,2,207,197.759124780317
335983,2,17,3,207,198.2248057552913
335983,2,17,4,207,197.93233973998332
335983,2,17,5,207,197.56461698790451
335983,2,17,6,207,197.11759897331768
335983,2,18,1,207,196.88169693118115
335983,2,18,2,207,196.88169693118115
335983,2,18,3,207,197.16941401962632
335983,2,18,4,207,195.8929899441307
335983,2,18,5,207,195.93264165176836
335983,2,18,6,207,195.93264165176836
335983,2,19,1,207,194.6473445411267
335983,2,19,2,207,194.6473445411267
335983,2,19,3,207,194.6473445411267
335983,2,19,4,207,195.80639123574468
335983,2,19,5,207,194.35200327371993
335983,2,19,6,207,194.35200327371993
335990,1,0,1,214,138.8596287293039
335990,1,0,2,214,147.7557640005045
335990,1,0,3,214,147.87554422873953
335990,1,0,4,214,138.65220634579026
335990,1,0,5,214,145.4050784552911
335990,1,0,6,214,147.89880773072755
335990,1,1,1,214,149.2229568213964
335990,1,1,2,214,149.6469980683391
335990,1,1,3,214,149.58214310853648
335990,1,1,4,214,150.8089861390817
335990,1,1,5,214,151.60623129331162
335990,1,1,6,214,151.4047293302587
335990,1,2,1,214,151.9074235023386
335990,1,2,2,214,157.26593817323794
335990,1,2,3,214,158.6334276629789
335990,1,2,4,214,157.1763515511314
335990,1,2,5,214,160.32251874228066
335990,1,2,6,214,154.35161774221947
335990,1,3,1,214,157.046673653653
335990,1,3,2,214,158.78257398065188
335990,1,3,3,214,159.4698982765234
335990,1,3,4,214,159.38768253827692
335990,1,3,5,214,157.37226719888702
335990,1,3,6,214,155.74931314454537
335990,1,4,1,214,153.71890266708112
335990,1,4,2,214,157.3566228922847
335990,1,4,3,214,160.611783427471
335990,1,4,4,214,159.19494217905952
335990,1,4,5,214,161.99154298776003
335990,1,4,6,214,162.54246231397258
335990,1,5,1,214,159.99074333555998
335990,1,5,2,214,164.0011573836566
335990,1,5,3,214,162.61284145793167
335990,1,5,4,214,161.56881618284535
335990,1,5,5,214,162.22915718267674
335990,1,5,6,214,163.0509436564632
335990,1,5,7,214,163.41893248846287
335990,1,6,1,214,162.4844290146417
335990,1,6,2,214,161.6934719195545
335990,1,6,3,214,162.41604336872328
335990,1,6,4,214,161.73132425626753
335990,1,6,5,214,160.39053382964494
335990,1,6,6,214,159.86243543574682
335990,1,7,1,214,165.38592770411378
335990,1,7,2,214,165.79996517912087
335990,1,7,3,214,166.49310532685976
335990,1,7,4,214,168.23071295398822
335990,1,7,5,214,169.77976815710306
335990,1,7,6,214,168.53067251796784
335990,1,8,1,214,169.07846312244925
335990,1,8,2,214,167.92551573186128
335990,1,8,3,214,165.0969247202452
335990,1,8,4,214,163.9238843061644
335990,1,8,5,214,164.37210816307103
335990,1,8,6,214,165.11096563020732
335990,1,9,1,214,165.40261922331104
335990,1,9,2,214,168.13952757879636
335990,1,9,3,214,166.20962169597976
335990,1,9,4,214,165.72003619783246
335990,1,9,5,214,166.33146210644503
335990,1,9,6,214,163.82587956910587
335990,1,10,1,214,163.82587956910587
335990,1,10,2,214,163.6545545293433
335990,1,10,3,214,164.1919942711956
335990,1,10,4,214,163.67358650418123
335990,1,10,5,214,163.96630480233605
335990,1,10,6,214,167.27871224927335
335990,1,10,7,214,170.89848175004408
335990,1,11,1,214,171.89415408608187
335990,1,11,2,214,171.37591490910518
335990,1,11,3,214,170.16693979872912
335990,1,11,4,214,168.58851820867199
335990,1,11,5,214,168.38544688745313
335990,1,11,6,214,171.37799744169357
335990,1,12,1,214,172.58999978649766
335990,1,12,2,214,172.3621945552586
335990,1,12,3,214,180.977621687627
335990,1,12,4,214,179.79723073028006
335990,1,12,5,214,178.20092765176616
335990,1,12,6,214,176.42552521589954
335990,1,13,1,214,176.42552521589954
335990,1,13,2,214,176.42552521589954
335990,1,13,3,214,181.17901588961172
335990,1,13,4,214,181.53157742093188
335990,1,13,5,214,181.18540111906964
335990,1,13,6,214,178.98742248597765
335990,1,14,1,214,182.23563562945196
335990,1,14,2,214,182.23563562945196
335990,1,14,3,214,180.7514459316582
335990,1,14,4,214,179.35295075588792
335990,1,14,5,214,180.86557278516864
335990,1,14,6,214,183.08029447200968
335990,1,14,7,214,188.17909497071784
335990,1,15,1,214,190.19984392693735
335990,1,15,2,214,193.1982364570774
335990,1,15,3,214,193.3708627079527
335990,1,15,4,214,193.40518734317527
335990,1,15,5,214,193.40518734317527
335990,1,15,6,214,193.53534379013988
335990,1,16,1,214,193.53534379013988
335990,1,16,2,214,193.53534379013988
335990,1,16,3,214,194.45695045477794
335990,1,16,4,214,194.45695045477794
335990,1,16,5,214,193.7410424153135
335990,1,16,6,214,193.53534379013988
335990,1,17,1,214,194.47033114738426
335990,1,17,2,214,194.47033114738426
335990,1,17,3,214,193.86354276582665
335990,1,17,4,214,196.4058701543266
335990,1,17,5,214,194.47033114738426
335990,1,17,6,214,193.95029774978067
335990,1,18,1,214,194.2082913715701
335990,1,18,2,214,194.2082913715701
335990,1,18,3,214,197.10870493060602
335990,1,18,4,214,196.27398682547707
