match_id,innings,over,b11_actual_final_score,b11_predicted_final_score
336016,2,15,20,26.490042822432816
336018,1,0,27,24.742903440656814
336018,1,1,27,28.035544894061687
336018,1,2,27,26.404017028966788
336018,1,3,27,24.65607675815567
336018,1,4,27,23.695912870275997
336018,1,5,27,22.090033533700577
336018,1,6,27,25.6147813868301
336018,1,7,27,25.554103759190756
336018,1,8,27,23.489123883021414
336018,1,9,27,27.05601379396031
336018,1,10,27,26.081249719974664
336018,1,11,27,24.860756406873477
336018,1,12,27,23.146518101522883
336018,1,13,27,22.780309599141333
336018,1,14,27,26.30937097167257
336018,1,15,27,28.870797453972806
336018,1,16,27,31.15374144220666
336018,1,17,27,30.357269480702065
336018,1,18,27,29.07609585490637
336018,1,19,27,26.907917351821713
336018,2,0,15,29.15646985930138
336018,2,1,15,28.936383263684927
336018,2,2,15,27.341176370106144
336018,2,3,15,26.095123345457043
336018,2,4,15,25.341552764126465
336018,2,5,15,23.653681381451143
336018,2,6,15,24.664824472614562
336018,2,7,15,23.568800655949083
336018,2,8,15,21.717984876378843
336018,2,9,15,20.717752670994727
336018,2,10,15,20.34312517064598
336018,2,11,15,21.041770546430644
336018,2,12,15,21.127344070312464
336018,2,13,15,24.160534053477456
336022,1,0,12,24.742903440656814
336022,1,1,12,23.360823407600794
336022,1,2,12,24.320261042689772
336022,1,3,12,23.486948148137763
336022,1,4,12,27.02129537852829
336022,1,5,12,29.278130812174147
336022,1,6,12,27.472073493444086
336022,1,7,12,26.608480290475587
336022,1,8,12,22.303183706884624
336022,1,9,12,21.513918734164346
336022,1,10,12,21.45071824699171
336022,2,0,12,25.472137899796575
336022,2,1,12,24.950306230712744
336022,2,2,12,21.421224881279574
336022,2,3,12,20.822045774888537
336022,2,4,12,22.87492845105895
336022,2,5,12,22.519580796635488
336022,2,6,12,22.530694318573886
336022,2,7,12,27.08716258683774
336036,1,0,15,25.472137899796575
336036,1,1,15,24.950306230712744
336036,1,2,15,24.403222399886783
336036,1,3,15,23.486948148137763
336036,1,4,15,21.91084879901094
336036,1,5,15,22.090033533700577
336036,1,6,15,23.084146004817416
336036,1,7,15,21.5673308014796
336036,1,8,15,21.717984876378843
336036,1,9,15,20.717752670994727
336036,1,10,15,18.840122850649124
336036,1,11,15,18.558745122217516
336036,1,12,15,17.743370991161022
336036,1,13,15,17.42163594657435
336036,1,14,15,16.276217689777393
336036,1,15,15,15.254340331185633
336036,1,16,15,15.046693873152703
336036,1,17,15,13.5205255604658
336036,1,18,15,12.473020624305219
336036,1,19,15,14.995206047462403
336036,2,0,21,25.472137899796575
336036,2,1,21,24.950306230712744
336036,2,2,21,27.341176370106144
336036,2,3,21,26.96061636847153
336036,2,4,21,25.341552764126465
336036,2,5,21,25.83650060144446
336036,2,6,21,25.6147813868301
336036,2,7,21,23.9764838236092
336036,2,8,21,23.489123883021414
336036,2,9,21,23.55667332784838
336036,2,10,21,23.41648402510598
336036,2,11,21,21.80950386854146
336036,2,12,21,21.90483740959712
336036,2,13,21,22.63280396456082
336036,2,14,21,22.153224397866857
336036,2,15,21,21.12890065935314
336036,2,16,21,20.69487528268247
336036,2,17,21,19.755442037679497
