match_id,innings,over,ball_in_over,bowler,optimization_score
336010,1,8,6,A Kumble,0.2999999999999998
336010,1,12,6,R Vinay Kumar,-1.472222222222222
336010,1,15,6,P Kumar,2.4000000000000004
336010,2,5,6,SC Ganguly,-0.1499999999999999
336010,2,8,6,M Kartik,3.8833333333333333
336010,2,12,6,Umar Gul,1.4588235294117644
336010,2,15,6,I Sharma,-0.6875
336011,1,5,6,MM Patel,1.7583333333333335
336011,1,8,6,SK Warne,1.025
336011,1,12,6,YK Pathan,1.6083333333333336
336011,1,15,6,SK Trivedi,-5.633333333333333
336011,2,5,6,PP Ojha,8.65
336011,2,8,6,Shahid Afridi,0.9166666666666666
336011,2,12,6,PP Ojha,2.3647058823529417
336011,2,15,6,RP Singh,-1.1749999999999998
336012,1,5,6,CRD Fernando,-6.1
336012,1,8,6,DS Kulkarni,2.1
336012,1,12,6,A Nehra,-0.35000000000000003
336012,1,15,6,DR Smith,-5.826086956521739
336012,2,5,6,R Vinay Kumar,-0.1499999999999999
336012,2,8,6,A Kumble,4.5
336012,2,12,6,R Vinay Kumar,2.6944444444444446
336012,2,15,6,A Kumble,5.020833333333333
336013,1,5,6,VRV Singh,8.275
336013,1,8,6,PP Chawla,1.9750000000000005
336013,1,12,6,IK Pathan,3.2294117647058824
336013,1,15,6,S Sreesanth,-2.7791666666666663
336013,2,5,6,JA Morkel,-1.3222222222222222
336013,2,8,6,P Amarnath,5.625
336013,2,12,6,L Balaji,-3.3833333333333333
336013,2,15,6,L Balaji,-3.752941176470588
336014,1,5,6,RP Singh,4.166666666666667
336014,1,8,6,Y Venugopal Rao,-0.17999999999999972
336014,1,12,6,Y Venugopal Rao,-1.9555555555555553
336014,1,15,6,SB Styris,3.2555555555555555
336014,2,5,6,Umar Gul,4.425
336014,2,8,6,SC Ganguly,-1.8333333333333333
336014,2,12,6,AB Dinda,-4.7875
336014,2,15,6,I Sharma,3.272222222222222
336015,1,5,6,SR Watson,-1.6944444444444446
336015,1,8,6,SK Warne,1.25
336015,1,12,6,SK Warne,2.111111111111111
336015,1,15,6,SK Trivedi,-3.916666666666667
336015,2,5,6,PJ Sangwan,-1.1
336015,2,8,6,VY Mahesh,6.89
336015,2,12,6,A Mishra,-3.7545454545454544
336015,2,15,6,V Sehwag,1.7250000000000005
336016,1,5,6,PP Chawla,4.66
336016,1,8,6,VRV Singh,0.55
336016,1,12,6,PP Chawla,-1.7875
336016,1,15,6,JR Hopes,4.616666666666667
336016,2,5,6,Z Khan,1.2555555555555555
336016,2,8,6,R Vinay Kumar,-1.3583333333333332
336016,2,12,6,V Kohli,4.383333333333333
336017,1,5,6,PJ Sangwan,2.25
336017,1,8,6,VY Mahesh,1.294444444444444
336017,1,12,6,A Mishra,0.6916666666666665
336017,1,15,6,PJ Sangwan,-2.7791666666666663
336017,2,5,6,AB Dinda,1.9
336017,2,8,6,SC Ganguly,2.4833333333333334
336017,2,12,6,SC Ganguly,1.6055555555555556
336017,2,15,6,AB Dinda,-2.6958333333333333
336018,1,5,6,DJ Bravo,-1.9166666666666667
336018,1,8,6,DS Kulkarni,-3.7166666666666663
336018,1,12,6,A Nehra,2.2176470588235295
336018,1,15,6,DJ Bravo,0.06111111111111134
336018,2,5,6,JA Morkel,6.341176470588236
336018,2,8,6,L Balaji,0.20909090909090916
336018,2,12,6,M Muralitharan,4.25
336019,1,5,6,SR Watson,3.2166666666666663
336019,1,8,6,SK Trivedi,0.30000000000000004
336019,1,12,6,MM Patel,2.5444444444444443
336019,1,15,6,D Salunkhe,2.6166666666666667
336019,2,5,6,JR Hopes,3.2166666666666663
336019,2,8,6,PP Chawla,1.25
336019,2,12,6,PP Chawla,-1.3944444444444444
336019,2,15,6,VRV Singh,2.8555555555555556
336020,1,5,6,PM Sarvesh Kumar,4.12
336020,1,8,6,SB Styris,2.9583333333333335
336020,1,12,6,PM Sarvesh Kumar,3.1
336020,1,15,6,PP Ojha,0.4800000000000001
336020,2,5,6,MF Maharoof,4.333333333333333
336020,2,8,6,A Mishra,-5.4
336020,2,12,6,MF Maharoof,-0.8833333333333332
336020,2,15,6,MF Maharoof,0.03888888888888875
336021,1,5,6,DJ Bravo,0.6999999999999998
336021,1,8,6,A Nehra,0.7722222222222225
336021,1,12,6,DJ Thornely,-3.1818181818181817
336022,1,5,6,VRV Singh,11.233333333333334
336022,1,8,6,RR Powar,2.354545454545455
336022,2,5,6,A Mishra,2.058333333333334
336023,1,5,6,P Kumar,1.238888888888889
336023,1,8,6,A Kumble,0.8
336023,1,12,6,A Kumble,-1.5277777777777777
336023,1,15,6,JH Kallis,3.7944444444444443
336023,2,5,6,MM Patel,-1.2833333333333332
336023,2,8,6,SR Watson,-0.3999999999999999
336023,2,12,6,SK Trivedi,2.6272727272727274
336023,2,15,6,SK Warne,-5.870833333333333
336024,1,5,6,RP Singh,1.9
336024,1,8,6,Shahid Afridi,-6.1
336024,1,12,6,Y Venugopal Rao,-2.563636363636363
336024,1,15,6,Shahid Afridi,-3.6208333333333336
336024,2,5,6,RR Raje,0.6999999999999998
336024,2,8,6,DJ Thornely,3.4333333333333336
336024,2,12,6,ST Jayasuriya,2.0083333333333337
336024,2,15,6,DJ Bravo,-1.061111111111111
336025,1,5,6,MS Gony,0.8055555555555555
